census_block,provider_id,travel_time_type,travel_time_minutes
CB008,PR009,DRIVING,116.283333336
CB008,PR010,DRIVING,96.88333333199999
CB008,PR011,DRIVING,149.500000002
CB008,PR012,DRIVING,128.683333332
CB008,PR013,DRIVING,124.266666666
CB008,PR014,DRIVING,110.316666666
CB008,PR015,DRIVING,86.516666664
CB008,PR016,DRIVING,75.366666666
CB009,PR001,DRIVING,3.3
CB009,PR002,DRIVING,41.299999998000004
CB009,PR003,DRIVING,31.966666668000002
CB009,PR004,DRIVING,56.983333332
CB009,PR005,DRIVING,64.066666668
CB009,PR006,DRIVING,63.233333334
CB009,PR007,DRIVING,60.3
CB009,PR008,DRIVING,63.233333334
CB009,PR009,DRIVING,71.816666664
CB009,PR010,DRIVING,76.416666666
CB009,PR011,DRIVING,105.033333336
CB009,PR012,DRIVING,115.150000002
CB009,PR013,DRIVING,103.75000000200001
CB009,PR014,DRIVING,110.149999998
CB009,PR015,DRIVING,132.166666668
CB009,PR016,DRIVING,158.266666668
CB010,PR001,DRIVING,130.583333334
CB010,PR002,DRIVING,105.833333334
CB010,PR003,DRIVING,130.2
CB010,PR004,DRIVING,137.433333336
CB010,PR005,DRIVING,159.31666666799998
CB010,PR006,DRIVING,158.783333334
CB010,PR007,DRIVING,155.85000000000002
CB010,PR008,DRIVING,158.783333334
CB010,PR009,DRIVING,150.466666668
CB010,PR010,DRIVING,166.79999999999998
CB010,PR011,DRIVING,156.883333332
CB010,PR012,DRIVING,210.41666666400002
CB010,PR013,DRIVING,184.01666666399998
CB010,PR014,DRIVING,205.416666666
CB010,PR015,DRIVING,227.433333336
CB010,PR016,DRIVING,253.533333336
CB011,PR001,DRIVING,138.349999998
CB011,PR002,DRIVING,123.433333332
CB011,PR003,DRIVING,128.416666668
CB011,PR004,DRIVING,116.816666664
CB011,PR005,DRIVING,137.966666664
CB011,PR006,DRIVING,127.30000000199999
CB011,PR007,DRIVING,124.95
CB011,PR008,DRIVING,127.30000000199999
CB011,PR009,DRIVING,100.883333334
CB011,PR010,DRIVING,135.6
CB011,PR011,DRIVING,81.15
CB011,PR012,DRIVING,186.583333332
CB011,PR013,DRIVING,111.53333333399999
CB011,PR014,DRIVING,174.383333334
CB011,PR015,DRIVING,196.399999998
CB011,PR016,DRIVING,222.51666666600002
CB012,PR001,DRIVING,16.05
CB012,PR002,DRIVING,38.683333332
CB012,PR003,DRIVING,40.566666666
